Time of Data Collect,Kelly Position,Torque at rotary,RPM at rotary,HKLD,SPP,,PVT,SPM1,SPM2,SPM3,Trip Tank,RPM
28/3/2026 1:17,2.640000105,4058,60,116.3000031,27907,28/3/2026 1:17,60.20000076,84,0,0,3.151000023,60
28/3/2026 1:17,2.630000114,3861,60,116.3000031,28026,28/3/2026 1:17,60.20000076,84,0,0,3.151000023,60
28/3/2026 1:17,2.609999895,3784,60,116.6999969,27887,28/3/2026 1:17,60.20000076,84,0,0,3.150000095,60
28/3/2026 1:17,2.609999895,4148,60,116.8000031,27927,28/3/2026 1:17,60.16999817,84,0,0,3.148000002,60
28/3/2026 1:17,2.599999905,4001,60,116.8000031,27986,28/3/2026 1:17,60.18999863,84,0,0,3.148000002,60
28/3/2026 1:17,2.599999905,4334,60,117,27887,28/3/2026 1:17,60.22000122,84,0,0,3.147000074,60
28/3/2026 1:17,2.599999905,4420,60,117,27728,28/3/2026 1:17,60.20999908,84,0,0,3.144999981,60
28/3/2026 1:17,2.599999905,4032,60,116.9000015,27827,28/3/2026 1:17,60.18999863,84,0,0,3.145999908,60
28/3/2026 1:17,2.599999905,4090,60,116.6999969,27946,28/3/2026 1:17,60.13000107,84,0,0,3.145999908,60
28/3/2026 1:18,2.579999924,3835,60,116.9000015,27787,28/3/2026 1:18,60.15999985,84,0,0,3.144999981,60
28/3/2026 1:18,2.579999924,3854,60,116.8000031,28105,28/3/2026 1:18,60.15999985,84,0,0,3.144000053,60
28/3/2026 1:18,2.569999933,4170,60,116.8000031,27668,28/3/2026 1:18,60.18999863,84,0,0,3.144000053,60
28/3/2026 1:18,2.559999943,3864,60,116.8000031,27748,28/3/2026 1:18,60.15999985,84,0,0,3.144000053,60
28/3/2026 1:18,2.569999933,4165,60,116.8000031,27728,28/3/2026 1:18,60.11000061,84,0,0,3.142999887,60
28/3/2026 1:18,2.549999952,4044,60,116.6999969,27609,28/3/2026 1:18,60.11999893,84,0,0,3.142999887,60
